Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MEIM.S1WA,2008.12,102925,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.01,101060,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.02,98516,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.03,96084,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.04,92731,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.05,86052,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.06,83192,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.07,85167,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.08,84709,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.09,84145,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.10,85590,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.11,92079,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2009.12,100351,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.01,97682,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.02,96843,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.03,95903,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.04,91437,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.05,85565,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.06,81993,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.07,84446,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.08,85401,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.09,86128,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.10,87745,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.11,96227,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2010.12,103299,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.01,100192,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.02,99392,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.03,98106,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.04,93301,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.05,88836,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.06,85458,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.07,86199,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.08,88072,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.09,88434,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.10,87923,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.11,95946,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2011.12,102824,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.01,102038,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
MEIM.S1WA,2012.02,99899,,P,Number,0,Employment indicators - MEI,Employment Indicators,Filled jobs,Primary industries,Actual,,
