Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE9A,1955.03,38.864476,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1955.06,39.248187,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1955.09,39.303002,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1955.12,39.303002,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1956.03,39.702884,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1956.06,40.251591,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1956.09,41.113846,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1956.12,41.113846,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1957.03,40.800299,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1957.06,41.3882,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1957.09,41.662553,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1957.12,41.85852,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1958.03,41.897714,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1958.06,42.32884,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1958.09,44.288509,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1958.12,44.562862,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1959.03,44.64125,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1959.06,44.75883,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1959.09,45.22915,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1959.12,45.072376,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1960.03,44.876409,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1960.06,44.954796,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1960.09,45.34673,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1960.12,45.777857,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1961.03,45.58189,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1961.06,45.58189,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1961.09,46.287371,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1961.12,46.757692,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1962.03,46.914465,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1962.06,47.071238,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1962.09,47.423979,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1962.12,47.737525,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1963.03,47.776719,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1963.06,47.972686,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1963.09,48.325426,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1963.12,48.795746,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1964.03,48.991714,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1964.06,49.42284,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1964.09,50.167515,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1964.12,50.990575,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1965.03,51.108156,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1965.06,51.186542,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1965.09,51.85283,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1965.12,52.20557,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1966.03,52.558467,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1966.06,52.867938,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1966.09,53.177409,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1966.12,53.435301,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1967.03,54.776342,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
CPIQ.SE9A,1967.06,56.272117,FINAL,Index,Consumers Price Index - CPI,CPI All Groups for New Zealand,All groups
